id,title,artist,album,duration_sec,rank,explicit,preview_url
3359652,No Rain,Blind Melon,Blind Melon,217,679874,False,"https://cdnt-preview.dzcdn.net/api/1/1/1/b/3/0/1b3353367e513cf4e62cbdd9f658309b.mp3?hdnea=exp=1773080230~acl=/api/1/1/1/b/3/0/1b3353367e513cf4e62cbdd9f658309b.mp3*~data=user_id=0,application_id=42~hmac=e07917365cb64f3d498d53254a298c9ea9d373697291a4da1b1271392f4e9285"
134116940,Kiss Me,Sixpence None The Richer,Sixpence None The Richer,208,857286,False,"https://cdnt-preview.dzcdn.net/api/1/1/e/3/4/0/e34e7cc5b8cbd7d9e60aa18292d53e80.mp3?hdnea=exp=1773080230~acl=/api/1/1/e/3/4/0/e34e7cc5b8cbd7d9e60aa18292d53e80.mp3*~data=user_id=0,application_id=42~hmac=c0f0e00aa80bb2b11b70df04c0d028ecc1dba4e166e46ca15e2ad31ca3765810"
3157066,Fly Away,Lenny Kravitz,5,222,253361,False,"https://cdnt-preview.dzcdn.net/api/1/1/e/2/4/0/e2406b32513d96207d12dc2ba2a3935b.mp3?hdnea=exp=1773080230~acl=/api/1/1/e/2/4/0/e2406b32513d96207d12dc2ba2a3935b.mp3*~data=user_id=0,application_id=42~hmac=88b1169ed0c133d2b754537951b5fa0bdc3ccfe70dc217a32b37abb710105d32"
62264191,Tempted,Squeeze,East Side Story,238,258986,False,"https://cdnt-preview.dzcdn.net/api/1/1/2/f/2/0/2f26093685dde3dd159ba58fa48ef9d4.mp3?hdnea=exp=1773080230~acl=/api/1/1/2/f/2/0/2f26093685dde3dd159ba58fa48ef9d4.mp3*~data=user_id=0,application_id=42~hmac=0a53946c79e0341bb33710cdd9296bb9858fcf85372e3772146a6089f5f45580"
2441438,You Get What You Give,New Radicals,Maybe You've Been Brainwashed Too,300,755637,False,"https://cdnt-preview.dzcdn.net/api/1/1/7/3/8/0/738b6a1f2e89d5580c07a7628e02a689.mp3?hdnea=exp=1773080230~acl=/api/1/1/7/3/8/0/738b6a1f2e89d5580c07a7628e02a689.mp3*~data=user_id=0,application_id=42~hmac=248d401008b79fa4d148d2c94e08760585d64bb34a8e892c90a7776f54d4a897"
518458172,Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction (Super Deluxe Edition),355,934281,False,"https://cdnt-preview.dzcdn.net/api/1/1/5/9/1/0/59115eec88ea0bc7742eaba93facf49b.mp3?hdnea=exp=1773080230~acl=/api/1/1/5/9/1/0/59115eec88ea0bc7742eaba93facf49b.mp3*~data=user_id=0,application_id=42~hmac=6f124bf2731695a8d520a182c86b433955a2e88e2f3124cf8d69f2b8e0b7f9bd"
15479805,Learn to Fly,Foo Fighters,There Is Nothing Left To Lose,238,396428,False,"https://cdnt-preview.dzcdn.net/api/1/1/e/f/7/0/ef70abed9268a87a8dbfa9b3f89b230a.mp3?hdnea=exp=1773080230~acl=/api/1/1/e/f/7/0/ef70abed9268a87a8dbfa9b3f89b230a.mp3*~data=user_id=0,application_id=42~hmac=bfcfe62a3013ee5f39635de5b54d9b1374a90921126646d42ba24bb8ef4f6123"
71433036,And It Stoned Me (2013 Remaster),Van Morrison,Moondance,272,504295,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/8/a/0/d8a1698e4270eeb8fec783a724aff3a6.mp3?hdnea=exp=1773080230~acl=/api/1/1/d/8/a/0/d8a1698e4270eeb8fec783a724aff3a6.mp3*~data=user_id=0,application_id=42~hmac=5e3f11a820cd64f8cfdec739781af37c0dfcb860ea52f8bdbff098b55e6bf55e"
116914042,Wish You Were Here,Pink Floyd,Wish You Were Here,330,942312,False,"https://cdnt-preview.dzcdn.net/api/1/1/0/1/b/0/01bb9546e0555d21953c927ae4d1950a.mp3?hdnea=exp=1773080230~acl=/api/1/1/0/1/b/0/01bb9546e0555d21953c927ae4d1950a.mp3*~data=user_id=0,application_id=42~hmac=94321a28de6c44b195168da8708194ea71572ec6af03b14f4725262765e80d66"
8080983,The Boys Are Back In Town,Thin Lizzy,Jailbreak (Deluxe Edition),267,147801,False,"https://cdnt-preview.dzcdn.net/api/1/1/e/b/5/0/eb59355161dbb5f91b04b963475c04bf.mp3?hdnea=exp=1773080230~acl=/api/1/1/e/b/5/0/eb59355161dbb5f91b04b963475c04bf.mp3*~data=user_id=0,application_id=42~hmac=0d2dde738bad93dfc51f84d3ad544f4426df3a150f440616859dca6afcf876fe"
