id,title,artist,album,duration_sec,rank,explicit,preview_url
3234735461,CAJU,Liniker,CAJU,266,760224,False,"https://cdnt-preview.dzcdn.net/api/1/1/7/b/7/0/7b7abab3732f16b105b0b6190999df68.mp3?hdnea=exp=1773080285~acl=/api/1/1/7/b/7/0/7b7abab3732f16b105b0b6190999df68.mp3*~data=user_id=0,application_id=42~hmac=d44f55b069242aeb154d758c2cbcd2fc022b6b6e4897001b484c2500c1b5a26d"
540267832,Som Brasil,Nego Alvaro,Nego Alvaro Canta Sereno e Moa,209,110955,False,"https://cdnt-preview.dzcdn.net/api/1/1/6/8/f/0/68f1f5d818dfcc6b9df9a3f43ab58e8c.mp3?hdnea=exp=1773080285~acl=/api/1/1/6/8/f/0/68f1f5d818dfcc6b9df9a3f43ab58e8c.mp3*~data=user_id=0,application_id=42~hmac=7ecdb68db436126cd041042506d34375031b3102fe0af97babccd9d0678e419c"
3293435461,As Estaçōes,Dom Salvador,Dom Salvador JID024,246,106282,False,"https://cdnt-preview.dzcdn.net/api/1/1/a/c/4/0/ac442305bb121bbbe54244726afb38fd.mp3?hdnea=exp=1773080285~acl=/api/1/1/a/c/4/0/ac442305bb121bbbe54244726afb38fd.mp3*~data=user_id=0,application_id=42~hmac=923987512d809bf9579782c7e8837fd57bdb3424035b7516b42fece51a3480c1"
2178474697,Making Something,Modern Cosmology,What Will You Grow Now?,363,38538,False,"https://cdnt-preview.dzcdn.net/api/1/1/3/a/4/0/3a4ed4c414cd5084d3e8bb0e9b6b7dd6.mp3?hdnea=exp=1773080285~acl=/api/1/1/3/a/4/0/3a4ed4c414cd5084d3e8bb0e9b6b7dd6.mp3*~data=user_id=0,application_id=42~hmac=ea9e00bf01099c61a8daeeae6a09eda109ab66460f71827b95f8b974ee38bc6c"
85336286,Aleluia,Robson Jorge,Robson Jorge e Lincoln Olivetti,232,323427,False,"https://cdnt-preview.dzcdn.net/api/1/1/6/7/3/0/673436cee0a3b802d3ce61cd924a873d.mp3?hdnea=exp=1773080285~acl=/api/1/1/6/7/3/0/673436cee0a3b802d3ce61cd924a873d.mp3*~data=user_id=0,application_id=42~hmac=30b8ae9cc1aa55899de0230d87b248c76a756871274f868fab6fe079cf6c4b11"
1831139637,Mistério da Raça,Rogê,Curyman,277,238743,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/1/5/0/d153db3bcf9389cc18f5af7d11a19cef.mp3?hdnea=exp=1773080285~acl=/api/1/1/d/1/5/0/d153db3bcf9389cc18f5af7d11a19cef.mp3*~data=user_id=0,application_id=42~hmac=176a6c976fd1f0a4c3d88eff7ad82b67976900cf34a26cbe07c1ec753170c6b5"
3724087522,MONTAGEM TORMENTA (Slowed),qaraqshy,MONTAGEM TORMENTA,125,601159,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/7/9/0/d79856cd70adde03327d8cbd57c6bea8.mp3?hdnea=exp=1773080285~acl=/api/1/1/d/7/9/0/d79856cd70adde03327d8cbd57c6bea8.mp3*~data=user_id=0,application_id=42~hmac=197f2706db5b87d07b1fae583cabe4f56808fd8c5a5e31731980ba7ac5797f3a"
2929443021,A Rã,Rogê,Curyman II,191,150175,False,"https://cdnt-preview.dzcdn.net/api/1/1/a/0/a/0/a0ab0baca6646ac84fff18ab47caeee5.mp3?hdnea=exp=1773080285~acl=/api/1/1/a/0/a/0/a0ab0baca6646ac84fff18ab47caeee5.mp3*~data=user_id=0,application_id=42~hmac=913c237044aad04ea2fb638d7389ce8836a25abbf2102df18dc58e9b35621c41"
2475297971,Mimosa 2000,Furacão 2000,27 Anos Nacional,140,773969,False,"https://cdnt-preview.dzcdn.net/api/1/1/7/a/4/0/7a453fa2dc79ee0ed11e171b6e82ae4a.mp3?hdnea=exp=1773080285~acl=/api/1/1/7/a/4/0/7a453fa2dc79ee0ed11e171b6e82ae4a.mp3*~data=user_id=0,application_id=42~hmac=2bdf7c412b1ec0f750ce17572dd0f6fb9d7db07e8b8ace4236a3a6115b1295b7"
70866519,Corcovado,Paulinho Nogueira,Bossa Nova Guitar,127,145697,False,"https://cdnt-preview.dzcdn.net/api/1/1/9/7/c/0/97c828df0774d2c84968b1ac712e7bb8.mp3?hdnea=exp=1773080285~acl=/api/1/1/9/7/c/0/97c828df0774d2c84968b1ac712e7bb8.mp3*~data=user_id=0,application_id=42~hmac=d8e63e8e8e4a07c7840f59ab08196e506eb1b0269b76be250d22d9c8241ed594"
3727315862,VOCE NA MIRA JUMPSTYLE (Slowed),Sxilwix,VOCE NA MIRA JUMPSTYLE,162,508990,False,"https://cdnt-preview.dzcdn.net/api/1/1/2/0/5/0/2054d22e753a25d72151aa201d5ef737.mp3?hdnea=exp=1773080285~acl=/api/1/1/2/0/5/0/2054d22e753a25d72151aa201d5ef737.mp3*~data=user_id=0,application_id=42~hmac=78f408a7ced6d2b6876ab0e231112af88b7158c4e2f9f25e57a4f4ee9c4ca2e1"
3679455062,HEAVENLY JUMPSTYLE (Slowed),TWXNY,HEAVENLY JUMPSTYLE,128,877313,False,"https://cdnt-preview.dzcdn.net/api/1/1/c/3/4/0/c340bf2080633b6b1b9d48f218e56ceb.mp3?hdnea=exp=1773080285~acl=/api/1/1/c/3/4/0/c340bf2080633b6b1b9d48f218e56ceb.mp3*~data=user_id=0,application_id=42~hmac=5002179250054cddb6e8ae55f85e05938a43be81c53ee04fdab52163a34e1e18"
112649736,Sebastiana,Gilberto Gil,A Arte De Gal Costa,144,62633,False,"https://cdnt-preview.dzcdn.net/api/1/1/c/1/6/0/c16c58b29f24529c642f48939ba63386.mp3?hdnea=exp=1773080285~acl=/api/1/1/c/1/6/0/c16c58b29f24529c642f48939ba63386.mp3*~data=user_id=0,application_id=42~hmac=41fc7f10265512e8f04dcaa1e864c3b7cadeb5e36dc00172cb97c578ae81ca48"
15087678,Cama y Mesa,Roberto Carlos,Pra Sempre Em Espanhol - Vol. 2,197,555411,False,"https://cdnt-preview.dzcdn.net/api/1/1/1/4/a/0/14ad41a0c693f761b7995f87d4d4d423.mp3?hdnea=exp=1773080285~acl=/api/1/1/1/4/a/0/14ad41a0c693f761b7995f87d4d4d423.mp3*~data=user_id=0,application_id=42~hmac=3bfedd0eb89dc0c3b5a6c402c1b3877b82588d0bf13213565f22c9d081a2e3d6"
671693102,Alma (Instrumental),Marcos Valle,Sempre,386,88290,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/1/7/0/d170e0d560fa6491bf312ae71bb0539c.mp3?hdnea=exp=1773080285~acl=/api/1/1/d/1/7/0/d170e0d560fa6491bf312ae71bb0539c.mp3*~data=user_id=0,application_id=42~hmac=da97d16a083d094542f0c373750995d1c9f1d9e11cba05e557a4d3a00de0ddb9"
3329623921,P do Pecado (Ao Vivo),Grupo Menos É Mais,MOLHO (Ao Vivo),192,977984,False,"https://cdnt-preview.dzcdn.net/api/1/1/f/c/0/0/fc09cd45935be10f4d3ee8ff16aa9512.mp3?hdnea=exp=1773080285~acl=/api/1/1/f/c/0/0/fc09cd45935be10f4d3ee8ff16aa9512.mp3*~data=user_id=0,application_id=42~hmac=d08f97fe3f5ebebf2e7ab0009b9f2d83596151d8f44feac04affec232a3470f0"
15192643,Preta Pretinha No Carnaval,Novos Baianos,Vamos Pro Mundo,205,250399,False,"https://cdnt-preview.dzcdn.net/api/1/1/4/d/3/0/4d34d4407cd74a2625ce7e4868fef8d5.mp3?hdnea=exp=1773080285~acl=/api/1/1/4/d/3/0/4d34d4407cd74a2625ce7e4868fef8d5.mp3*~data=user_id=0,application_id=42~hmac=f24ace0cb28383032096bad621ec69e9347c17ab484b9c4dd6d015884b4cc63c"
108659808,Super Legal,Friends From Rio,"Friends from Rio, Vol. 2",300,1461,False,"https://cdnt-preview.dzcdn.net/api/1/1/1/4/8/0/1487329d0741e47cd539d60c4b572376.mp3?hdnea=exp=1773080285~acl=/api/1/1/1/4/8/0/1487329d0741e47cd539d60c4b572376.mp3*~data=user_id=0,application_id=42~hmac=68a6a798ad8c2716a0a2da3f623976d0ad7ce3a2a234c9dabafc4615383302ac"
3261212201,Burguesinha,Seu Jorge,America Brasil,258,685973,False,"https://cdnt-preview.dzcdn.net/api/1/1/8/7/e/0/87e960e6af4422bea0a6134b663a03c3.mp3?hdnea=exp=1773080285~acl=/api/1/1/8/7/e/0/87e960e6af4422bea0a6134b663a03c3.mp3*~data=user_id=0,application_id=42~hmac=d37a5972b887a0c7b6992c7d6911f1fffa064c5dbcf091f2b6dc6591e635f537"
3006129581,Última Saudade (Ao Vivo),Henrique & Juliano,Manifesto Musical 2 (Ao Vivo / EP1),150,977235,False,"https://cdnt-preview.dzcdn.net/api/1/1/7/c/5/0/7c56df8c128433a935cf714bfbf9c998.mp3?hdnea=exp=1773080285~acl=/api/1/1/7/c/5/0/7c56df8c128433a935cf714bfbf9c998.mp3*~data=user_id=0,application_id=42~hmac=be4f5a45b6837d431d7887968504d189b19d543d10c3f0c9cf403c6675eadca7"
3820606441,Reliquia do 2T,DJ Gu,Reliquia do 2T,306,957697,True,"https://cdnt-preview.dzcdn.net/api/1/1/0/c/1/0/0c1186b5e4f10ee2e0888354f7d3fd58.mp3?hdnea=exp=1773080285~acl=/api/1/1/0/c/1/0/0c1186b5e4f10ee2e0888354f7d3fd58.mp3*~data=user_id=0,application_id=42~hmac=36530a9e4e74415c896b82484e25d6b44a9b7ae05c423a89042b324cc6fb818a"
3679455042,HEAVENLY JUMPSTYLE,TWXNY,HEAVENLY JUMPSTYLE,114,741825,False,"https://cdnt-preview.dzcdn.net/api/1/1/0/f/7/0/0f7393bb258d463803a651cc0c3e3b27.mp3?hdnea=exp=1773080285~acl=/api/1/1/0/f/7/0/0f7393bb258d463803a651cc0c3e3b27.mp3*~data=user_id=0,application_id=42~hmac=a00c306aa067e22eb5d66b954921464c2377c8184f2c39320eb3e3c5e687132f"
1270334652,Nada Será Como Antes (Remastered 2021),Elis Regina,Elis (Remastered),161,119896,False,"https://cdnt-preview.dzcdn.net/api/1/1/0/7/d/0/07d80f63008b67e6ac43a10f5c39f15c.mp3?hdnea=exp=1773080285~acl=/api/1/1/0/7/d/0/07d80f63008b67e6ac43a10f5c39f15c.mp3*~data=user_id=0,application_id=42~hmac=bdc3b5fe1a1a01f0e8ed4c42c4f2f009bcef35f76f59da34f9d4f7ee99311cf1"
109095312,Apocalipse,Jose Mauro,Quartin,189,18417,False,"https://cdnt-preview.dzcdn.net/api/1/1/c/7/c/0/c7c435091b59659b4ba8e96776b4b3e0.mp3?hdnea=exp=1773080285~acl=/api/1/1/c/7/c/0/c7c435091b59659b4ba8e96776b4b3e0.mp3*~data=user_id=0,application_id=42~hmac=6eddad3d8fac6911355567d23ba0e15d72501cd92ba3123c32fda5603ca97a9c"
2954217391,Coração Partido (Corazón Partío) (Ao Vivo),Grupo Menos É Mais,Coração Partido (Corazón Partío) (Ao Vivo),195,959590,False,"https://cdnt-preview.dzcdn.net/api/1/1/5/1/0/0/51022ac2fdb0130eede5e3c0d8c1ee1b.mp3?hdnea=exp=1773080285~acl=/api/1/1/5/1/0/0/51022ac2fdb0130eede5e3c0d8c1ee1b.mp3*~data=user_id=0,application_id=42~hmac=6de6786b2f87a7fc58275a0942f8bc4e899abf616143b05026b13f2780d0bd74"
